product_name,brand,declared_allergens,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish,source_dataset
Muesli bio chocolat noir,Jordans,"en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Special Muesli 30% fruits & noix,Jordans,"en:gluten, en:nuts, fr:avoine, fr:avoine",True,False,True,False,False,False,Declared allergens + Dietary restrictions
Super Nutty Granola,Jordans,"en:gluten, en:nuts",True,False,True,False,False,False,Declared allergens + Dietary restrictions
Joyfuel Chocolat au Lait & Cookie Dough,Joyfuel,"en:milk, en:soybeans",False,True,False,True,False,False,Declared allergens + Dietary restrictions
Ready Rolled Puff Pastry Sheet,Jus Rol,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Disfruta Frutas Y Vitaminas Brik imp,Juver,,False,False,False,False,False,False,Dietary restrictions
Maíz dulce,Juver,,False,False,False,False,False,False,Dietary restrictions
Miel Pops,KELLOG'S,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Kikkoman Soyasaus glutenfrei,KIKKOMAN,en:soybeans,False,False,False,True,False,False,Declared allergens + Dietary restrictions
Dark Chocolate Nuts & Sea Salt Bars,KIND,"en:nuts, en:peanuts, en:soybeans",False,False,True,True,False,False,Declared allergens + Dietary restrictions
Dark chocolate nuts & sea salt,KIND,"en:milk, en:nuts, en:peanuts, en:soybeans",False,True,True,True,False,False,Declared allergens + Dietary restrictions
organic GREEK YOGURT plain,KIRKLAND Signature,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
RAW & UNFILTERED HONEY,KIRKLAND signature,,False,False,False,False,False,False,Dietary restrictions
KP Dry Roasted Peanuts,KP,"en:celery, en:peanuts",False,False,True,False,False,False,Declared allergens + Dietary restrictions
Original Salted Peanuts,KP,en:peanuts,False,False,True,False,False,False,Declared allergens + Dietary restrictions
Unsalted Roasted Nuts,KP,en:peanuts,False,False,True,False,False,False,Declared allergens + Dietary restrictions
POM-BEAR Potato snacks,KP Snacks,,False,False,False,False,False,False,Dietary restrictions
hula hoops original,KP Snacks,,False,False,False,False,False,False,Dietary restrictions
Fromage edam,KROON,,False,False,False,False,False,False,Dietary restrictions
Chick Peas in Salted Water,KTC,,False,False,False,False,False,False,Dietary restrictions
Pure Creamed Coconut,KTC,,False,False,False,False,False,False,Dietary restrictions
Fromage tranches pour sandwich,Kaiser,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Milk Chocolate Rice Cakes imp,Kallo,en:milk,False,True,False,False,False,False,Declared allergens + Dietary restrictions
Organic Lightly Salted Wholegrain Low Fat Rice Cakes,Kallo,en:rice,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Very Low Salt Organic Vegetable 6 Stock Cubes,"Kallo foods Ltd,kallø",en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Belgian Dark Chocolate Rice Cake Thins imp,Kallø,,False,False,False,False,False,False,Dietary restrictions
Blueberry/van Rice/corn Cakes imp,Kallø,,False,False,False,False,False,False,Dietary restrictions
Organic Beef Stock Cubes 8 Pack,Kallø,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Organic Chicken Stock Cubes -  8 Pack,Kallø,,False,False,False,False,False,False,Dietary restrictions
Organic Vegetable Stock Cubes,Kallø,en:celery,False,False,False,False,False,False,Declared allergens + Dietary restrictions
Sea Salt & Cider Vinegar Veggie Cakes,Kallø,,False,False,False,False,False,False,Dietary restrictions
Wholegrain Low fat rice cakes imp,Kallø,,False,False,False,False,False,False,Dietary restrictions
Kalos,Kalos,,False,False,False,False,False,False,Dietary restrictions
Kango,"Kango, LU","en:eggs, en:gluten, en:milk, en:soybeans",True,True,False,True,True,False,Declared allergens + Dietary restrictions
SOS DE SOIA,Kania,"en:gluten, en:soybeans",True,False,False,True,False,False,Declared allergens + Dietary restrictions
Moutarde de Dijon,"Kania, Lidl, Winarom","en:mustard, en:sulphur-dioxide-and-sulphites",False,False,False,False,False,False,Declared allergens + Dietary restrictions
Mayonnaise,"Kania,Lidl","en:eggs, en:mustard",False,False,False,False,True,False,Declared allergens + Dietary restrictions
Tomato Ketchup,"Kania,Lidl",,False,False,False,False,False,False,Dietary restrictions
Lait de coco,Kara,,False,False,False,False,False,False,Dietary restrictions
Natural Coconut Cream,Kara,en:nuts,False,False,True,False,False,False,Declared allergens + Dietary restrictions
Organic Coconut Milk,Kara,,False,False,False,False,False,False,Dietary restrictions
Pâte à tartiner noisettes grillées,"Karéléa, Léa Nature","en:milk, en:nuts",False,True,True,False,False,False,Declared allergens + Dietary restrictions
Organic Jumbo Porridge Oats,Kavanagh's,,False,False,False,False,False,False,Dietary restrictions
All Bran Original,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Blueberry Wheats,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Bran Flakes,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
CORN FLAKES 1kg,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Cereales special K original,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Corn Flakes,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Corn Flakes Cereal,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Crunchy Nut,Kellogg's,"en:gluten, en:peanuts",True,False,True,False,False,False,Declared allergens + Dietary restrictions
